feature,importance
dmso,0.26125460483765406
trehalose,0.16591929679776496
hes,0.1336436302597832
sucrose,0.1285746143478964
fbs,0.10732006212725675
glycerol,0.08032703046878176
pvp,0.05873202304074099
peg_3350,0.05665060920549159
ethylene_glycol,0.05345513509462618
raffinose,0.048322001467913656
creatine,0.041395136127939214
betaine,0.03553706405751589
hsa,0.03057706581852171
methylcellulose,0.01966169555579933
human_serum,0.015031185261048963
ectoin,0.012894352910833184
proline,0.01211640448974749
dextran,0.009981447468320415
propylene_glycol,0.008861275173864813
glucose,0.002266365828301531
hyaluronic_acid,-0.004330231662921902
