rank,predicted_viability,uncertainty,dmso_percent,n_ingredients,ectoin_M,ethylene_glycol_M,fbs_pct,glycerol_M,hsa_pct,betaine_M,creatine_M,dmso_M,proline_M,propylene_glycol_M,sucrose_M,human_serum_pct,hes_pct,peg_3350_pct,pvp_pct,dextran_pct,raffinose_M
1,71.97335134691765,15.607221375067844,0.0,2,0.3047248791901368,1.5464447896637654,,,,,,,,,,,,,,,
2,66.94472389813644,15.307384486827772,0.0,2,0.14310187022779486,1.2818618574001872,,,,,,,,,,,,,,,
3,64.35048537674969,15.58100853870082,0.0,2,0.1611683922786305,1.0495636126492547,,,,,,,,,,,,,,,
4,62.078899979695066,15.63853187073436,0.0,3,,,34.661844640510274,2.350296025139387,6.022810043529202,,,,,,,,,,,,
5,52.21628545810704,27.248386868935086,0.24345753376402818,5,0.4145109458327096,2.182061030919647,,,,0.13318992281528919,2.236002273870654,0.03427662704984398,,,,,,,,,
6,51.86670432195992,15.11360284916886,0.0,3,,0.975688891057823,,,8.524649388815355,,,,0.06755325354947417,,,,,,,,
7,51.63537729613387,16.586541743192885,0.0,3,,0.3625101908543915,,,,,,,,2.440388225313204,0.6072126026993657,,,,,,
8,50.898644971387675,27.24897125084675,0.0,2,,,,,,0.08854662326102092,,,,,,75.55296552296711,,,,,
9,49.19754931743171,27.1735312552372,0.36875529041479055,6,,,,,,,,0.05191742217538329,0.11147335246676054,0.9381621893389647,,,1.4753433905956326,1.3963688162782795,2.1058355362859924,,
10,49.10654039288928,27.3517267444338,0.0,2,,1.0187002112928445,,,,,,,,2.3946808371041737,,,,,,,
11,48.69552566433776,27.366202522002222,0.0,3,,,,,,,,,,1.6699315241731902,0.6118350545991809,,,,,2.367722614039034,
12,48.52216556003847,27.42092106719621,0.0,2,,2.226624728511492,,,,,,,,,,33.4544668109086,,,,,
13,48.42695161391567,27.419183714885023,0.0,5,,0.13895158621019255,58.235598634414444,,,0.0766161601173056,,,,,,64.52989722748069,,,4.760511939304846,,
14,48.31239485356393,27.421971070813825,0.181545760927232,3,,,,,,,,0.025560007298087193,0.31819873492798223,,,,,,,2.4310163563176035,
15,48.266436212982576,27.41173880040551,0.0,4,,0.8338718866927666,,2.3433836009017597,2.6144503148529417,,,,,,,26.213941563244536,,,,,
16,48.162535337827705,27.22131935003685,0.0,4,,,,,7.0691957407922725,,,,,,,10.820720356897263,,0.9283920021116754,,0.8222885277766956,
17,48.150094714856735,27.417605178633128,0.0,5,0.02623148140320558,1.5702063234570018,40.01358863002916,,,,,,,1.0112356090716257,,,,,6.188469022925339,,
18,48.11054114360428,27.417355663021333,0.0,4,0.2530316247182633,,,,8.07231291680353,,,,0.17667392960266276,,,,,3.784005611909281,,,
19,48.08973920834076,27.423898963844618,0.0,2,,,,,,,,,,,,,,,5.7297917130625775,3.977418568978938,
20,48.07169032605009,27.40503227138787,0.29074691751016907,5,,0.4734111191884635,27.532719876622593,,,,,0.04093454617447664,,,,,,,8.044403217904263,,0.1964509333726201
